validation_case_id,security_id,ticker,asof_date,candidate_id,base_id,lineage_id,pattern,pattern_status,structural_end,pivot_level,pivot_source_date,pivot_crossed_intraday,volume_ratio,C_screen_state,A_screen_state,L_individual_leadership_state,rs_rating_proxy_percentile,M_market_state,M_entry_state,candidate_stage,eligibility_reason_codes,annual_eps_growth_measure,evidence_adapter_reason_codes
00079c118bd30a2c,US26622P1075,DOCS,2025-03-31,d63a3e12a127de60658d2d93,base_f1dc1d461c4a091f6067,lineage_a1f7f34da3e39bebfc44,FLAT_BASE,REJECTED,2025-01-07,59.13999939,2024-12-23,False,,NOT_EVALUABLE,NOT_EVALUABLE,PASS,85.2307692308,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_GE_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0008f86c5073a37f,US30041T1043,MRAM,2025-06-30,916942412b01cac3a4d04e58,base_60d4cedbdd552a22257a,lineage_e28c370ce7851e11efcb,DOUBLE_BOTTOM,RECOGNIZED,2025-04-08,7.0,2024-10-31,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,2.9230769231,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,[], ,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
05136ce01bb02b26,US64125C1099,NBIX,2025-06-30,5bc65256e9bd6e5ff34d9301,base_f40c6cbba9eb83328ea1,lineage_8ca3d783c948b02d88d6,CUP_WITHOUT_HANDLE,RECOGNIZED,2025-06-30,130.46000671,2025-05-06,False,,NOT_EVALUABLE,NOT_EVALUABLE,PASS,87.6923076923,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,[], ,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_GE_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0002d6f05cc6ed5e,US03211Q2003,AMPG,2025-06-30,a765f8adff5820ea67e62122,base_83ce8e5fcecd8c60c6b8,lineage_103fbc23b83d2745f66f,DOUBLE_BOTTOM,REJECTED,2025-03-12,6.42999983,2024-12-30,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,1.5384615385,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
001226af66f6078a,US49907V2016,KSCP,2025-09-30,52a8f8ee4b950b42f94da69a,base_2a720af99fca71ead4fe,lineage_97f1254a88105bb828d6,DOUBLE_BOTTOM,RECOGNIZED,2025-01-27,15.25,2024-12-27,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,15.0769230769,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,"[""BREAKOUT_ALREADY_OCCURRED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
001ef517d60c5836,US23291C1036,BOOM,2025-09-30,e64de76f6d0424c7176696d1,base_aeb5dcf208e4df5e8a7a,lineage_d4482914d414795e019f,DOUBLE_BOTTOM,RECOGNIZED,2025-05-22,9.19999981,2025-03-27,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,4.0,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,[], ,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
65921bc97ce19cad,US26622P1075,DOCS,2025-09-30,c26321169d02400d77e40a16,base_2d0dc0a8ea4bf365d64f,lineage_a1f7f34da3e39bebfc44,CUP_WITHOUT_HANDLE,REJECTED,2025-09-30,59.13999939,2024-12-23,False,,NOT_EVALUABLE,NOT_EVALUABLE,PASS,97.3846153846,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_GE_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0004c708babc8e1a,KYG8552M1179,SUGP,2025-09-30,fb8b88148ef924d3669e30d4,base_a3a4c26859e75cad9424,lineage_a613599695333d5ac9c1,CUP_WITH_HANDLE,AMBIGUOUS,2025-07-25,96.59999847,2024-11-26,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,0.3076923077,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
00053ebfa5d34cb3,VGG2788T1113,DOGZ,2025-09-30,52f0387a887961a496907f8b,base_0b6f12ea9100cb14f606,lineage_fcac0dd46107156c97ff,DOUBLE_BOTTOM,AMBIGUOUS,2024-12-26,58.5,2024-10-25,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,8.0,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
00096f7a4b4ecab4_DUP,US18467V1098,YOU,2024-03-28,d1a865981e0ac812ffd2dcee,base_e3fc303df61fdcc90c1f,lineage_b7930113209cd55e04a8,CUP_WITHOUT_HANDLE,RECOGNIZED,2024-03-28,24.20999908,2023-12-14,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,31.3846153846,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,[], ,"[]"
